word,pos,zh,ex
"Pollution","n.","污染","Air pollution is a serious problem in big cities."
"Popular","adj.","受欢迎的","The song is very popular among teenagers."
"Population","n.","人口","The population of the city is growing fast."
"Spread","v./n.","传播；扩散","The virus spread quickly across the country."
"Strange","adj.","奇怪的","It sounds strange to me."
"Describe","v.","描述","Please describe what you saw."
"Environment","n.","环境","We must protect the environment."
"Daily","adj./adv.","每天的；日常的","Daily exercise is good for your health."
"List","n./v.","清单；列出","Make a list of your tasks."
"Inner","adj.","内部的；内心的","She found her inner strength."
"Infer","v.","推断","We can infer the meaning from the context."
"Regard","v.","认为；看待","He is regarded as a hero."
"Attitude","n.","态度","His attitude towards work is positive."
